DataKey,label,(times),DATE,SPAD,LAI,oldTotEarNum,totEarWeight,totEarNum,totalSeedNum,totalSeedWeightBeforeDry,totalSeedWeightAfterDry
202503260955_29,29,3,26/3/2025,55.9,,518,1170,512,18380,741.1,741.1
202503260955_30,30,3,26/3/2025,52.2,,488,1157.54,507,9398,334.6,334.6
202503260955_31,31,3,26/3/2025,48.6,,340,798.88,350,11297,519.6,519.6
202503260955_32,32,3,26/3/2025,46.7,,459,828.36,362,12643,517.2,517.2
202503260955_33,33,3,26/3/2025,46.4,,448,648.27,284,10003,400,400
202503260955_34,34,3,26/3/2025,57.7,,311,637.96,279,8979,332.6,332.6
202503260955_35,35,3,26/3/2025,49.7,,397,845.38,370,13305,499.3,499.3
202503260955_36,36,3,26/3/2025,58.4,,367,594.23,260,9285,332.5,332.5
202503260955_37,37,3,26/3/2025,47.3,,312,698.66,306,9013,375.9,375.9
202503260955_38,38,3,26/3/2025,47.3,,391,591.29,259,9243,381,381
202503260955_39,39,3,26/3/2025,50.9,,245,567.4,248,18379,723.5,723.5
202503260955_40,40,3,26/3/2025,49.5,,309,841.91,368,9991,411,411
202503260955_41,41,3,26/3/2025,47.7,,397,1124.94,492,11808,484.4,484.4
202503260955_42,42,3,26/3/2025,55.2,,209,514.68,225,7241,270.8,270.8
202503260955_43,43,3,26/3/2025,48.1,,413,798.73,350,11845,473.8,473.8
202503260955_44,44,3,26/3/2025,44.7,,212,461.12,202,7199,276.2,276.2
202503260955_45,45,3,26/3/2025,52.3,,453,668.91,293,18130,728.9,728.9
202503260955_46,46,3,26/3/2025,49.3,,357,706.24,309,10792,376.7,376.7
202503260955_47,47,3,26/3/2025,51.7,,360,968.87,424,14939,561.7,561.7
202503260955_48,48,3,26/3/2025,51.8,,287,790,346,13025,504.3,504.3
202503260955_49,49,3,26/3/2025,54.0,,321,867,379,12236,483.9,483.9
202503260955_50,50,3,26/3/2025,46.9,,288,985.59,431,14786,586.9,586.9
202503260955_51,51,3,26/3/2025,45.7,,420,957.22,419,14298,556.5,556.5
202503260955_52,52,3,26/3/2025,49.1,,369,791.43,346,9911,402.8,402.8
202503260955_53,53,3,26/3/2025,43.9,,409,823.26,360,11703,477,477
202503260955_54,54,3,26/3/2025,51.3,,343,733.45,321,11065,428.4,428.4
202503260955_55,55,3,26/3/2025,49.8,,373,737.68,323,12514,528.2,528.2
202503260955_56,56,3,26/3/2025,59.4,,330,874.83,383,11094,456.3,456.3
202503260955_57,57,3,26/3/2025,44.9,,342,894.64,391,13015,511.6,511.6
202503260955_58,58,3,26/3/2025,54.1,,283,940.89,412,15276,620.4,620.4
202503260955_59,59,3,26/3/2025,53.2,,390,583.37,255,8387,340.8,340.8
202503260955_60,60,3,26/3/2025,42.3,,319,964.19,422,15682,634.4,634.4
